model,angle_set,curve,point_index,param_angle_rad,x_over_delta_xq,p_over_delta_pq
QG,A,V_recon_total,228,1.9896753472735358,-1.1807203151235135,-1.235017988807913
QG,A,V_recon_total,229,1.9984019935335073,-1.1760940958560406,-1.2591833847146914
QG,A,V_recon_total,230,2.007128639793479,-1.1713783124697348,-1.2832528889315975
QG,A,V_recon_total,231,2.0158552860534504,-1.1665733240897591,-1.3072246684726956
QG,A,V_recon_total,232,2.0245819323134224,-1.1616794966345814,-1.3310968977941646
QG,A,V_recon_total,233,2.033308578573394,-1.1566972027881097,-1.3548677589333145
QG,A,V_recon_total,234,2.0420352248333655,-1.151626821971311,-1.3785354416470377
QG,A,V_recon_total,235,2.050761871093337,-1.1464687403133145,-1.4020981435496622
QG,A,V_recon_total,236,2.059488517353309,-1.1412233506220086,-1.4255540702502132
QG,A,V_recon_total,237,2.0682151636132806,-1.1358910523541272,-1.4489014354890564
QG,A,V_recon_total,238,2.076941809873252,-1.130472251584828,-1.472138461273937
QG,A,V_recon_total,239,2.0856684561332237,-1.1249673609767692,-1.495263378015376
QG,A,V_recon_total,240,2.0943951023931953,-1.1193767997486843,-1.5182744246614315
QG,A,V_recon_total,241,2.1031217486531673,-1.1137009936434543,-1.5411698488318117
QG,A,V_recon_total,242,2.111848394913139,-1.1079403748956902,-1.5639479069513207
QG,A,V_recon_total,243,2.1205750411731104,-1.1020953821988122,-1.5866068643826443
QG,A,V_recon_total,244,2.129301687433082,-1.0961664606716437,-1.6091449955584474
QG,A,V_recon_total,245,2.138028333693054,-1.090154061824514,-1.6315605841127816
QG,A,V_recon_total,246,2.1467549799530254,-1.0840586435248734,-1.653851923011791
QG,A,V_recon_total,247,2.155481626212997,-1.0778806699624248,-1.6760173146837145
QG,A,V_recon_total,248,2.1642082724729685,-1.0716206116137739,-1.6980550711481603
QG,A,V_recon_total,249,2.17293491873294,-1.0652789452066005,-1.7199635141446503
QG,A,V_recon_total,250,2.181661564992912,-1.0588561536833543,-1.74174097526043
QG,A,V_recon_total,251,2.1903882112528836,-1.0523527261644774,-1.7633857960575183
QG,A,V_recon_total,252,2.199114857512855,-1.0457691579111537,-1.7848963281990111
QG,A,V_recon_total,253,2.2078415037728267,-1.0391059502875948,-1.8062709335746043
QG,A,V_recon_total,254,2.2165681500327987,-1.0323636107228593,-1.8275079844253446
QG,A,V_recon_total,255,2.2252947962927703,-1.0255426526722091,-1.848605863467585
QG,A,V_recon_total,256,2.234021442552742,-1.0186435955780082,-1.8695629640161542
QG,A,V_recon_total,257,2.2427480888127134,-1.011666964830165,-1.8903776901067058
QG,A,V_recon_total,258,2.251474735072685,-1.0046132917261221,-1.911048456617261
QG,A,V_recon_total,259,2.260201381332657,-0.9974831134303953,-1.931573689388921
QG,A,V_recon_total,260,2.2689280275926285,-0.9902769729336683,-1.9519518253457409
QG,A,V_recon_total,261,2.2776546738526,-0.9829954190114395,-1.9721813126137724
QG,A,V_recon_total,262,2.2863813201125716,-0.9756390061822311,-1.992260610639238
QG,A,V_recon_total,263,2.2951079663725436,-0.9682082946653615,-2.012188190305854
QG,A,V_recon_total,264,2.303834612632515,-0.960703850338283,-2.031962534051273
QG,A,V_recon_total,265,2.3125612588924866,-0.9531262446934847,-2.051582135982662
QG,A,V_recon_total,266,2.321287905152458,-0.9454760547949749,-2.0710455019913723
QG,A,V_recon_total,267,2.3300145514124297,-0.937753863234333,-2.0903511498667275
QG,A,V_recon_total,268,2.3387411976724017,-0.9299602580863437,-2.1094976094088977
QG,A,V_recon_total,269,2.3474678439323733,-0.922095832864214,-2.128483422540858
